Id,Address,Distance,Latitude,Longitude,Bikes,Dockings,StationAdList,timestamp
3,Not in Service,0,25.8340416,-80.02682,0,2,"",2014-03-10 14:22:25 -0400
100,Washington Ave & 7th Street,0,25.7768764,-80.13394,8,5,"",2014-03-10 14:22:25 -0400
101,Inside South Pointe Park,0,25.7653275,-80.1313248,5,11,"",2014-03-10 14:22:25 -0400
102,Entrance to South Pointe Park,0,25.76738,-80.13587,4,11,"",2014-03-10 14:22:25 -0400
103,Ocean Dr & 1st Street ,0,25.7694359,-80.13305,4,8,"",2014-03-10 14:22:25 -0400
105,1st Street & Alton Rd,0,25.7697754,-80.13739,11,3,"",2014-03-10 14:22:25 -0400
106,Ocean Dr & 2nd Street,0,25.7711124,-80.13257,11,5,"",2014-03-10 14:22:25 -0400
107,2nd Street & Collins Ave ,0,25.7708836,-80.1338,1,13,"",2014-03-10 14:22:25 -0400
108,Michigan Ave & 3rd Street,0,25.7721329,-80.13831,5,6,"",2014-03-10 14:22:25 -0400
109,4th Street & Alton Rd,0,25.7735119,-80.13969,3,10,"",2014-03-10 14:22:25 -0400
110,Not in Service,0,25.8340416,-80.02682,6,9,"",2014-03-10 14:22:25 -0400
111,Euclid Ave & 5th Street,0,25.7742,-80.13497,13,2,"",2014-03-10 14:22:25 -0400
112,Ocean Dr & 5th Street ,0,25.7749176,-80.1315842,0,14,"",2014-03-10 14:22:25 -0400
113,Ocean Dr & 9th Street,0,25.7791729,-80.13083,3,12,"",2014-03-10 14:22:25 -0400
114,Ocean Dr and 10th Street (Art Deco Welcome Center),0,25.78076,-80.12991,0,21,"",2014-03-10 14:22:25 -0400
115,13th Street & Collins Ave,0,25.7840786,-80.1308,0,16,"",2014-03-10 14:22:25 -0400
116,Ocean Dr at 14th Street,0,25.7850342,-80.1294556,0,16,"",2014-03-10 14:22:25 -0400
117,Ocean Dr & 14th Place,0,25.7867641,-80.12954,10,3,"",2014-03-10 14:22:25 -0400
118,13th Street & Washington Ave,0,25.7842255,-80.13248,2,13,"",2014-03-10 14:22:25 -0400
119,11th Street & Washington Ave,0,25.7819214,-80.13306,2,9,"",2014-03-10 14:22:25 -0400
120,9th Street & Washington Ave,0,25.77947,-80.13339,14,2,"",2014-03-10 14:22:25 -0400
121,7th Street Parking Garage,0,25.7770615,-80.1331558,7,6,"",2014-03-10 14:22:25 -0400
122,Meridian Ave & 6th St,0,25.77581,-80.13589,3,13,"",2014-03-10 14:22:25 -0400
123,Michigan Ave & 5th Street,0,25.7747955,-80.13842,3,10,"",2014-03-10 14:22:25 -0400
124,Lenox Ave & 6th Street,0,25.77604,-80.13965,4,12,"",2014-03-10 14:22:25 -0400
125,6th Street Between Alton Rd & West Ave,0,25.7757549,-80.1411362,3,12,"",2014-03-10 14:22:25 -0400
126,9th Street & Lenox Ave,0,25.779274,-80.14001,2,12,"",2014-03-10 14:22:25 -0400
128,Pennsylvania Ave & 13th Street,0,25.7842388,-80.1341,1,7,"",2014-03-10 14:22:25 -0400
129,Jefferson Ave & 11th Street (Flamingo Park),0,25.7821846,-80.1375656,2,12,"",2014-03-10 14:22:25 -0400
130,Alton Rd at 11th Street (Flamingo Park),0,25.7820225,-80.14085,0,16,"",2014-03-10 14:22:25 -0400
131,West Ave & 10th Street (Whole Foods),0,25.7808533,-80.1421661,2,14,"",2014-03-10 14:22:25 -0400
132,12th Street & West Ave,0,25.7827454,-80.1420059,1,14,"",2014-03-10 14:22:25 -0400
